id;content_type;content_id;content_author;reported_by;reported_time;reported_reason
1;Computer encompassing Tugrik;Cambridgeshire Benin users;Plastic Dakota;connecting architecture;2023-04-18T13:04:53;../fake-data/blob/hipster.txt
2;middleware Home;Tuna Berkshire Steel;Soft;Berkshire channels definition;2023-04-18T05:07:16;../fake-data/blob/hipster.txt
3;Brand orchid;auxiliary;Vermont online;primary;2023-04-18T15:55:15;../fake-data/blob/hipster.txt
4;dynamic infomediaries yellow;Infrastructure;Regional architecture;invoice Markets Illinois;2023-04-18T10:47:32;../fake-data/blob/hipster.txt
5;Rwanda fuchsia;applications Rubber;Wooden Pataca Intelligent;circuit;2023-04-18T16:36:55;../fake-data/blob/hipster.txt
6;Niger Administrator;reboot Verde;Liaison invoice;Rubber monetize Movies;2023-04-18T10:03:01;../fake-data/blob/hipster.txt
7;Operations violet open;invoice Circles Maine;back compress;grow Mongolia strategize;2023-04-18T11:17:11;../fake-data/blob/hipster.txt
8;Concrete Communications;compressing Unbranded payment;bottom-line Movies Guyana;Directives;2023-04-18T11:52:26;../fake-data/blob/hipster.txt
9;Incredible deposit;best-of-breed Automated supply-chains;Groves Response;online implementation;2023-04-17T19:38:20;../fake-data/blob/hipster.txt
10;website deposit;Sleek;harness;Saudi Music;2023-04-18T00:34:24;../fake-data/blob/hipster.txt
