id;start;creation;title;subject;study_length;break_length;completed
1;2023-04-18T21:21:55;2023-04-19T00:28:11;Moroccan Future-proofed;Technician Gloves;92743;64501;true
2;2023-04-19T11:51:12;2023-04-19T15:31:03;Supervisor Baby;Rubber;28189;79438;false
3;2023-04-18T16:04:21;2023-04-19T04:47:51;Stream Human state;Quality proactive;90672;1959;false
4;2023-04-18T16:35:32;2023-04-19T11:44:13;Fresh Clothing copying;Bacon Health calculating;6225;24196;true
5;2023-04-19T14:04:39;2023-04-18T17:25:21;Handmade Orchestrator;Intelligent programming;98202;88259;false
6;2023-04-19T02:47:33;2023-04-18T16:21:52;multi-tasking;input;94074;47173;true
7;2023-04-19T11:27:51;2023-04-19T11:51:44;Cedi Legacy THX;Concrete;58270;17553;true
8;2023-04-19T00:28:26;2023-04-19T09:45:08;Refined compressing;Marino;55140;57651;true
9;2023-04-19T00:43:53;2023-04-19T14:27:20;Consultant;Shirt purple Reduced;85725;14341;false
10;2023-04-19T15:41:29;2023-04-19T02:50:06;Developer Paradigm Kroon;Facilitator definition;46449;67081;false
